1,Beginnings,Genealogy and birth of Jesus,Matthew 1–3
2,Kingdom announced,,Matthew 4–6
3,Authority displayed,,Matthew 7–9
4,Mission discourse,,Matthew 10–12
5,Parables of the Kingdom,,Matthew 13–15
6,Confession & Cross,,Matthew 16–18
7,Jerusalem rising,,Matthew 19–21
